number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 016|1994-11-06|Przemysłowy Instytut Maszyn Budowlanych Sp. z o.o.|ul. Napoleona 2; 05-230 Kobyłka|Zespół ds. Badań|ul. Napoleona 2; 05-230 Kobyłka|22 786-18-60||badania@pimb.com.pl|www.pimb.com.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Zabawki, sprzęt sportowy i rekreacyjny :: Pojazdy
AB 018|1994-11-25|"Celsa ""Huta Ostrowiec"" Sp. z o.o."|ul. Samsonowicza 2; 27-400 Ostrowiec Świętokrzyski|Laboratorium Chemiczne|ul. Samsonowicza 2; 27-400 Ostrowiec Świętokrzyski|41 249-20-13||mfirszt@celsaho.com|www.celsaho.com|Badania chemiczne, analityka chemiczna (C)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 019|1994-11-25|"Celsa ""Huta Ostrowiec"" Sp. z o.o."|ul. Samsonowicza 2; 27-400 Ostrowiec Świętokrzyski|Laboratorium Badania Metali i Pomiarów|ul. Samsonowicza 2; 27-400 Ostrowiec Świętokrzyski|41 249-25-56||mfarys@celsaho.com|www.celsaho.com|Badania mechaniczne, badania metalograficzne (J)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 022|1994-12-30|Instytut Elektrotechniki|ul. Pożaryskiego 28; 04-703 Warszawa|Laboratorium Badawcze i Wzorcujące|ul. Pożaryskiego 28; 04-703 Warszawa|22 112-52-90| 693-590-090|badania@iel.waw.pl|www.iel.waw.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Wyposażenie medyczne :: Wyposażenie optyczne :: Wyroby z tworzyw sztucznych i gumy :: Zabawki, sprzęt sportowy i rekreacyjny
AB 023|1995-01-27|Instytut Techniki Budowlanej|ul. Filtrowa 1; 00-611 Warszawa|Zespół Laboratoriów Badawczych|ul. Filtrowa 1; 00-611 Warszawa|22 579-61-74||itb@itb.pl|www.itb.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Azbest - w tym usuwanie azbestu :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Meble :: Szkło i ceramika :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne :: Drewno
AB 024|1995-02-15|"Zakłady Badań i Atestacji ""Zetom"" im. Profesora Fryderyka Stauba w Katowicach Sp. z o.o."|ul. Ks. Bpa. H. Bednorza 17; 40-384 Katowice|Laboratorium Badawcze i Wzorcujące - Zespół ds. Badań|ul. Ks. Bpa. H. Bednorza 17; 40-384 Katowice|32 256-93-69||biuro@zetom.eu|www.zetom.eu|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania elektryczne i elektroniczne (E) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Szkło i ceramika :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 025|1995-05-10|Narodowe Centrum Badań Jądrowych|ul. A. Sołtana 7; 05-400 Otwock|Laboratorium Badań Materiałowych|ul. A. Sołtana 7; 05-400 Otwock|22 273-10-61||lukasz.kurpaska@ncbj.gov.pl|www.ncbj.pl|Badania chemiczne, analityka chemiczna (C) :: Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 029|1995-07-21|Instytut Włókiennictwa|ul. Brzezińska 5/15; 92-103 Łódź|Laboratorium Badań Palności Wyrobów|ul. Gdańska 118; 90-520 Łódź|42 253-44-35||mszejna@iw.lodz.pl|www.iw.lodz.pl|Badania ogniowe (H) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Meble :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne :: Zabawki, sprzęt sportowy i rekreacyjny
AB 033|1995-08-28|Instytut Przemysłu Skórzanego|ul. Zgierska 73; 91-462 Łódź|Laboratorium Garbarstwa, Laboratorium Obuwia|ul. Zgierska 73; 91-462 Łódź|42 253-61-33||lab_garbarstwa@ips.lodz.pl|www.ips.lodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Środki ochrony osobistej :: Wyroby z tworzyw sztucznych i gumy :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne
AB 035|1995-08-21|Instytut Mechaniki Precyzyjnej|ul. Duchnicka 3; 01-796 Warszawa|Laboratorium Badań Mechanicznych Urządzeń Zabezpieczających i Lekkich Przegród Budowlanych|ul. Duchnicka 3; 01-796 Warszawa|22 663-43-14||marko@imp.edu.pl|www.imp.edu.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Meble :: Szkło i ceramika :: Wyposażenie wojskowe, materiały wybuchowe, amunicja :: Wyroby inne
AB 037|1995-10-06|Polskie Centrum Badań i Certyfikacji S.A.|ul. Kłobucka 23A; 02-699 Warszawa|Laboratorium Wyrobów Elektrycznych|ul. Kłobucka 23A; 02-699 Warszawa|22 464-52-17||platanik@pcbc.gov.pl|www.pcbc.gov.pl|Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyposażenie medyczne
AB 038|1995-11-15|Centralny Instytut Ochrony Pracy - Państwowy Instytut Badawczy|ul. Czerniakowska 16; 00-701 Warszawa|Centralny Instytut Ochrony Pracy - Państwowy Instytut Badawczy|ul. Czerniakowska 16; 00-701 Warszawa|22 623-32-90||onip@ciop.pl|www.ciop.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne :: Środki ochrony osobistej :: Zabawki, sprzęt sportowy i rekreacyjny
AB 039|1995-10-31|Instytut Techniki Górniczej KOMAG|ul. Pszczyńska 37; 44-101 Gliwice|Laboratorium Badań|ul. Pszczyńska 37; 44-101 Gliwice|32 237-40-00||info@komag.eu|www.komag.gliwice.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne
AB 040|1995-11-27|"Odlewnia Żeliwa ""Śrem"" S. A."|ul. Staszica 1; 63-100 Śrem|Laboratorium Centralne|ul. Staszica 1; 63-100 Śrem|61 281-34-91| 695-313-151|laboratorium@oz-srem.com.pl|www.oz-srem.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 041|1995-12-01|Instytut Nafty i Gazu - Państwowy Instytut Badawczy|ul. Lubicz 25A; 31-503 Kraków|Instytut Nafty i Gazu|ul. Bagrowa 1; 30-733 Kraków|12 421-00-33||office@inig.pl|www.inig.pl|Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy
AB 042|1995-10-24|Instytut Spawalnictwa|ul. Bł. Czesława 16-18; 44-100 Gliwice|Laboratorium Badawcze Spawalnictwa|ul. Bł. Czesława 16-18; 44-100 Gliwice|32 335-82-79||lbs@is.gliwice.pl|www.is.gliwice.pl|Badania elektryczne i elektroniczne (E) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Wyroby inne
AB 044|1995-11-30|Stowarzyszenie Elektryków Polskich Biuro Badawcze ds. Jakości|ul. Pożaryskiego 28; 04-703 Warszawa|Stowarzyszenie Elektryków Polskich Biuro Badawcze ds. Jakości Laboratorium Badawcze|ul. Pożaryskiego 28; 04-703 Warszawa|22 812-69-38||bbj@bbj-sep.com.pl|www.bbj-sep.com.pl|Badania elektryczne i elektroniczne (E) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 045|1995-12-06|Instytut Tele- i Radiotechniczny|ul. Ratuszowa 11; 03-450 Warszawa|Laboratorium Badania Jakości i Wzorcowania Wyrobów Elektronicznych|ul. Ratuszowa 11; 03-450 Warszawa|22 590-73-36||laboratorium.we@itr.org.pl|www.itr.org.pl|Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie
AB 048|1995-12-29|Instytut Energetyki Instytut Badawczy|ul. Mory 8; 01-330 Warszawa|Laboratorium Badań Kotłów, Turbin, Urządzeń Grzewczych i Odpylających oraz Emisji Pyłowo-Gazowej|ul. Dostawcza 1; 93-231 Łódź|42 640-08-21||cue-lk@ien.com.pl|www.ien.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 049|1996-03-28|Instytut Mechanizacji Budownictwa i Górnictwa Skalnego|ul. Racjonalizacji 6/8; 02-673 Warszawa|Laboratorium Badań Maszyn Roboczych i Górniczych|ul. Racjonalizacji 6/8; 02-673 Warszawa|22 843-02-01||imb@imbigs.pl|www.imbigs.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania elektryczne i elektroniczne (E) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne
AB 052|1996-04-01|"Ośrodek Badawczo-Rozwojowy Przemysłu Oponiarskiego ""Stomil"" Sp. z o.o."|ul. Starołęcka 20; 61-361 Poznań|Laboratorium Ogumienia|ul. Starołęcka 20; 61-361 Poznań|61 877-45-11||natalia.pietrzak@obr-stomil.pl|www.obr-stomil.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby z tworzyw sztucznych i gumy
AB 053|1996-03-12|Instytut Logistyki i Magazynowania|ul. Estkowskiego 6; 61-755 Poznań|Laboratorium Urządzeń Elektronicznych|ul. Estkowskiego 6; 61-755 Poznań|61 850-49-89||la@ilim.poznan.pl|www.ilim.poznan.pl|Badania kompatybilności elektromagnetycznej (EMC) (F)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyposażenie elektroniczne - w tym oprogramowanie :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyposażenie medyczne :: Wyposażenie optyczne :: Zabawki, sprzęt sportowy i rekreacyjny :: Pojazdy
AB 054|1996-04-10|Instytut Ceramiki i Materiałów Budowlanych|ul. Postępu 9; 02-676 Warszawa|Oddział Szkła i Materiałów Budowlanych w Krakowie|ul. Cementowa 8; 31-983 Kraków|12 683-79-00||info_krakow@icimb.pl|www.icimb.pl|Badania chemiczne, analityka chemiczna (C) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Szkło i ceramika
AB 059|1996-05-04|Centrum Naukowo-Badawcze Ochrony Przeciwpożarowej im. J.Tuliszkowskiego - Państwowy Instytut Badawczy|ul. Nadwiślańska 213; 05-420 Józefów K/Otwocka|Zespół Laboratoriów Technicznego Wyposażenia Jednostek Ochrony Przeciwpożarowej BS|ul. Nadwiślańska 213; 05-420 Józefów k/Otwocka|22 769-33-14||driegert@cnbop.pl|www.cnbop.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne :: Środki ochrony osobistej :: Pojazdy
AB 060|1996-05-04|Centrum Naukowo-Badawcze Ochrony Przeciwpożarowej im. J.Tuliszkowskiego - Państwowy Instytut Badawczy|ul. Nadwiślańska 213; 05-420 Józefów K/Otwocka|Zespół Laboratoriów Urządzeń i Środków Gaśniczych (BU)|ul. Nadwiślańska 213; 05-420 Józefów k/Otwocka|22 769-33-99||dkubis@cnbop.pl|www.cnbop.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy
AB 062|1996-07-26|Instytut Przemysłu Skórzanego|ul. Zgierska 73; 91-462 Łódź|Laboratorium Badań Produktów, Procesów i Środowiska|ul. Zgierska 73; 91-462 Łódź|42 253-61-21||srodowisko@ips.lodz.pl|www.ips.lodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne :: Zabawki, sprzęt sportowy i rekreacyjny
AB 063|1996-07-09|"""Poltegor-Instytut"" Instytut Górnictwa Odkrywkowego"|ul. Parkowa 25; 51-616 Wrocław|Laboratorium NM-1 Badań i Diagnostyki Maszyn i Urządzeń|ul. Parkowa 25; 51-616 Wrocław|71 348-81-35||jerzy.alenowicz@igo.wroc.pl|www.igo.wroc.pl|Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 065|1996-07-02|Instytut Biopolimerów i Włókien Chemicznych|ul. M.Skłodowskiej-Curie 19/27; 90-570 Łódź|Laboratorium Jakości Papieru|ul. M. Skłodowskiej-Curie 19/27; 90-570 Łódź|42 638-03-50||ibwch@ibwch.lodz.pl|www.ibwch.lodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Papier, tektura, materiały opakowaniowe
